Port Name,State,Port Code,Border,Date,Measure,Value
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Madawaska,ME,109,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,574
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,919
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,1663
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,3059
Derby Line,VT,209,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Boundary,WA,3015,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Oroville,WA,3019,US-Canada Border,01/01/1996 12:00:00 AM,Buses,43
Trout River,NY,715,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,12441
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,63
Andrade,CA,2502,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,0
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,1261
Rio Grande City,TX,2307,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,162351
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Roseau,MN,3426,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Grand Portage,MN,3613,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Detroit,MI,3801,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Columbus,NM,2406,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,44379
Alcan,AK,3104,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,0
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,34716
Otay Mesa,CA,2506,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,42
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,2075
Brownsville,TX,2301,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,3981
Nighthawk,WA,3011,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,44
Sasabe,AZ,2606,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Detroit,MI,3801,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,6231
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,86
Richford,VT,203,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,2533
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,27214
Grand Portage,MN,3613,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,3192
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Santa Teresa,NM,2408,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,7078
Andrade,CA,2502,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,425
Detroit,MI,3801,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,54958
Norton,VT,211,US-Canada Border,01/01/1996 12:00:00 AM,Trains,49
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Del Bonita,MT,3322,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,1674
Ambrose,ND,3410,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Dunseith,ND,3422,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Oroville,WA,3019,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,21071
Douglas,AZ,2601,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,76650
Santa Teresa,NM,2408,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Point Roberts,WA,3017,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Progreso,TX,2309,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,771
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Rio Grande City,TX,2307,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Empty,133
Fortuna,ND,3417,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Hansboro,ND,3415,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,556
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,3250
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,11
Rio Grande City,TX,2307,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,734
Bridgewater,ME,127,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Laurier,WA,3016,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Andrade,CA,2502,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Norton,VT,211,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,130
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,778
Hansboro,ND,3415,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Otay Mesa,CA,2506,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,18287
Port Huron,MI,3802,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,132425
Madawaska,ME,109,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,152271
Sasabe,AZ,2606,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,2075
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,346
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,3578
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,2800
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Buses,74
Calais,ME,115,US-Canada Border,01/01/1996 12:00:00 AM,Trains,16
Laurier,WA,3016,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,4266
Hidalgo,TX,2305,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,4051
Metaline Falls,WA,3025,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Calais,ME,115,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,297
Ogdensburg,NY,701,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,34
Maida,ND,3416,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,55
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,285
Fortuna,ND,3417,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,332
Buffalo-Niagara Falls,NY,901,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,2054
Roosville,MT,3318,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,11954
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,105008
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,4219
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,28794
Oroville,WA,3019,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,45
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,2084
Point Roberts,WA,3017,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,681
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Lukeville,AZ,2602,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Dunseith,ND,3422,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Metaline Falls,WA,3025,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Buses,1
Frontier,WA,3020,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,63
Raymond,MT,3301,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Trains,21
Bridgewater,ME,127,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Calexico East,CA,2507,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,0
Limestone,ME,118,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,5511
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Beecher Falls,VT,206,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Antler,ND,3413,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Van Buren,ME,108,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Tecate,CA,2505,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,312
Detroit,MI,3801,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Derby Line,VT,209,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,718
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,671
Lukeville,AZ,2602,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,212
Columbus,NM,2406,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,1727
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,576
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Portland,ME,101,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,460
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Buses,388
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,30262
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,756342
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Laredo,TX,2304,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,541559
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Trains,88
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Tecate,CA,2505,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,1
Roma,TX,2310,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,352223
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,2284
Nighthawk,WA,3011,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,468
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,62
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,428
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,3583
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,721
Antler,ND,3413,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Tecate,CA,2505,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Whitetail,MT,3312,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,201
St. John,ND,3405,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,96
Roosville,MT,3318,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,1681
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,37
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,544615
Raymond,MT,3301,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,1093
Progreso,TX,2309,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,134414
Alcan,AK,3104,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Metaline Falls,WA,3025,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Brownsville,TX,2301,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,409
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,176
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Buses,5
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,12609
Sumas,WA,3009,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,3647
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Boundary,WA,3015,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,0
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Naco,AZ,2603,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Calexico East,CA,2507,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,362
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,395
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,102
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Buses,4
Richford,VT,203,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Neche,ND,3404,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,4
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,7520
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Frontier,WA,3020,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Progreso,TX,2309,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Buses,49
Skagway,AK,3103,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,42028
El Paso,TX,2402,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Empty,22791
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,596
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,1243
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,8877
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Buses,17
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,1704
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Lukeville,AZ,2602,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Jackman,ME,104,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,22684
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,755
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Douglas,AZ,2601,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Blaine,WA,3004,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,714877
Lynden,WA,3023,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,48391
Roosville,MT,3318,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,6386
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,2
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,65
Del Rio,TX,2302,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Derby Line,VT,209,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,288
Grand Portage,MN,3613,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,506
Piegan,MT,3316,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,14
Eagle Pass,TX,2303,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,217846
Naco,AZ,2603,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,5918
Tecate,CA,2505,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Buffalo-Niagara Falls,NY,901,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,405836
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,4744
Limestone,ME,118,US-Canada Border,01/01/1996 12:00:00 AM,Buses,1
Maida,ND,3416,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Naco,AZ,2603,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,23126
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,1103
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,620
Laurier,WA,3016,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,396
Portland,ME,101,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,14606
Norton,VT,211,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,1665
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,178
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Buses,23
Ambrose,ND,3410,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,465
Raymond,MT,3301,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,4741
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Richford,VT,203,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,940
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Hannah,ND,3408,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Sault Sainte Marie,MI,3803,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,4556
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,145728
Noyes,MN,3402,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,47
Roseau,MN,3426,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,3643
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,16300
Buffalo-Niagara Falls,NY,901,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Westhope,ND,3419,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Douglas,AZ,2601,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,270
Fortuna,ND,3417,US-Canada Border,01/01/1996 12:00:00 AM,Buses,14
Hidalgo,TX,2305,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,16080
Hansboro,ND,3415,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Opheim,MT,3317,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Van Buren,ME,108,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Trout River,NY,715,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,26389
Carbury,ND,3421,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,1505
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,721
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,12849
Nighthawk,WA,3011,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,1661
Del Rio,TX,2302,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,3312
Columbus,NM,2406,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,95
Columbus,NM,2406,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,8562
Highgate Springs-Alburg,VT,212,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,8553
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Roosville,MT,3318,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Champlain-Rouses Point,NY,712,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
San Ysidro,CA,2504,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,0
Trout River,NY,715,US-Canada Border,01/01/1996 12:00:00 AM,Buses,2
Noyes,MN,3402,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Vanceboro,ME,105,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,26
Fort Fairfield,ME,107,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Van Buren,ME,108,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,692
Portal,ND,3403,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,4442
Piegan,MT,3316,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Trucks,15152
Walhalla,ND,3407,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,537
Van Buren,ME,108,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,2453
Calexico East,CA,2507,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,0
Antler,ND,3413,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,81
Ogdensburg,NY,701,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Point Roberts,WA,3017,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Turner,MT,3306,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Del Bonita,MT,3322,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,11
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,602083
Del Bonita,MT,3322,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,67
Danville,WA,3012,US-Canada Border,01/01/1996 12:00:00 AM,Buses,1
Pinecreek,MN,3425,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,2865
Frontier,WA,3020,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Ogdensburg,NY,701,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,292
El Paso,TX,2402,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Full,515
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,1400
Maida,ND,3416,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,203
Del Rio,TX,2302,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,2285
Calexico,CA,2503,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Full,5820
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,2275
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,212
Point Roberts,WA,3017,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Northgate,ND,3406,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,1472
