Port Name,State,Port Code,Border,Date,Measure,Value
Derby Line,VT,209,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
St. John,ND,3405,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Buffalo-Niagara Falls,NY,901,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,44115
Eastport,ID,3302,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,160
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Portland,ME,101,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Antler,ND,3413,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Ambrose,ND,3410,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Grand Portage,MN,3613,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Sweetgrass,MT,3310,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,6717
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
International Falls-Ranier,MN,3604,US-Canada Border,01/01/1996 12:00:00 AM,Buses,8
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Whitlash,MT,3321,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Highgate Springs-Alburg,VT,212,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
El Paso,TX,2402,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,2870450
Laredo,TX,2304,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,312090
Beecher Falls,VT,206,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Otay Mesa,CA,2506,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,267204
Del Bonita,MT,3322,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Fortuna,ND,3417,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,829
Roseau,MN,3426,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Bridgewater,ME,127,US-Canada Border,01/01/1996 12:00:00 AM,Buses,6
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,151997
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,1333
San Ysidro,CA,2504,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Otay Mesa,CA,2506,US-Mexico Border,01/01/1996 12:00:00 AM,Rail Containers Empty,1
Noyes,MN,3402,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,621
Alcan,AK,3104,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Limestone,ME,118,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Sarles,ND,3409,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
Sasabe,AZ,2606,US-Mexico Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Massena,NY,704,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicles,71636
Tornillo-Fabens,TX,2404,US-Mexico Border,01/01/1996 12:00:00 AM,Truck Containers Empty,0
Progreso,TX,2309,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,88240
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,354810
Point Roberts,WA,3017,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Opheim,MT,3317,US-Canada Border,01/01/1996 12:00:00 AM,Trucks,13
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
Fort Kent,ME,110,US-Canada Border,01/01/1996 12:00:00 AM,Buses,0
Roma,TX,2310,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Laurier,WA,3016,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,8434
Baudette,MN,3424,US-Canada Border,01/01/1996 12:00:00 AM,Buses,65
Piegan,MT,3316,US-Canada Border,01/01/1996 12:00:00 AM,Pedestrians,0
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Rio Grande City,TX,2307,US-Mexico Border,01/01/1996 12:00:00 AM,Trains,0
Morgan,MT,3319,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,0
Presidio,TX,2403,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicles,47254
Nogales,AZ,2604,US-Mexico Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,802136
Alexandria Bay,NY,708,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Calexico East,CA,2507,US-Mexico Border,01/01/1996 12:00:00 AM,Pedestrians,0
Noonan,ND,3420,US-Canada Border,01/01/1996 12:00:00 AM,Trains,0
Dalton Cache,AK,3106,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
San Luis,AZ,2608,US-Mexico Border,01/01/1996 12:00:00 AM,Train Passengers,0
Porthill,ID,3308,US-Canada Border,01/01/1996 12:00:00 AM,Truck Containers Full,0
Scobey,MT,3309,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Empty,0
St. John,ND,3405,US-Canada Border,01/01/1996 12:00:00 AM,Buses,3
Oroville,WA,3019,US-Canada Border,01/01/1996 12:00:00 AM,Bus Passengers,1558
Warroad,MN,3423,US-Canada Border,01/01/1996 12:00:00 AM,Personal Vehicle Passengers,11788
Houlton,ME,106,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Ferry,WA,3013,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Beecher Falls,VT,206,US-Canada Border,01/01/1996 12:00:00 AM,Rail Containers Full,0
Pembina,ND,3401,US-Canada Border,01/01/1996 12:00:00 AM,Train Passengers,0
